指令代码,指令动作,指令地址码
1001,单独打开声音,01 06 04 0E 00 01 28 F9
1002,单独打开灯光,01 06 04 0E 00 02 68 F8
1003,打开声音和灯光,01 06 04 0E 00 03 A9 38
1004,关闭声光,01 06 04 0E 00 00 E9 39
1005,音量调为1级,01 06 04 0F 00 01 79 39
1006,音量调为30级,01 06 04 0F 00 1E 38 F1
1007,音调切换到第一个文件夹第一条语音,01 06 04 10 01 01 49 6F
1008,音调切换到第一个文件夹第二条语音,01 06 04 10 01 02 09 6E
1009,单曲循环模式,01 06 04 11 00 01 19 3F
1010,单曲模式,01 06 04 11 00 02 59 3E
1011,更改报警器通讯地址为02（每次只能连接一台报警器操作）,01 06 04 56 00 02 E9 2B
1012,更改设备地址为01,00 06 04 56 00 01 A8 FB
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
